	epi_isl	submitting_lab	originating_lab
2336	EPI511862	Centers For Disease Control And Prevention	Who Chinese National Influenza Center
2337	EPI503573	Centers For Disease Control And Prevention	Spokane Regional Health District
2338	EPI499098	Who Chinese National Influenza Center	Who Chinese National Influenza Center
2339	EPI492595	Centers For Disease Control And Prevention	Government Virus Unit
2340	EPI536558	Centers For Disease Control And Prevention	Russian Academy Of Medical Sciences
2341	EPI511852	Centers For Disease Control And Prevention	Wisconsin State Laboratory Of Hygiene
2342	EPI477359	National Institute For Medical Research	Who Chinese National Influenza Center
2343	EPI392597	National Institute For Medical Research	Government Virus Unit
2344	EPI406266	National Institute For Medical Research	Sandringham, National Institute For Communicable D
2345	EPI394413	Who Collaborating Centre For Reference And Research On Influenza	Ministry Of Health, Singapore
2346	EPI753866	Centers For Disease Control And Prevention	University Teaching Hospital
2347	EPI511844	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
2348	EPI529607	Who Collaborating Centre For Reference And Research On Influenza	Medical Research Institute
2349	EPI491103	Centers For Disease Control And Prevention	Ministry Of Health Bahrain
2350	EPI843581	Centers For Disease Control And Prevention	National Influenza Lab
2351	EPI721111	Centers For Disease Control And Prevention	National Influenza Lab
2352	EPI536522	Centers For Disease Control And Prevention	Institute Of Epidemiology And Infectious Diseases Ams Of Ukraine
2353	EPI536572	Centers For Disease Control And Prevention	Institute Of Epidemiology And Infectious Diseases Ams Of Ukraine
2354	EPI737991	Centers For Disease Control And Prevention	Irss
2355	EPI710662	Centers For Disease Control And Prevention	Nic Lab Cvd Mali
2356	EPI628862	National Institute Of Infectious Diseases (niid)	Mie Prefecture Health And Environment Research Institute
2357	EPI687068	Centers For Disease Control And Prevention	Nic Lab Cvd Mali
2358	EPI687001	Centers For Disease Control And Prevention	Nic Lab Cvd Mali
2359	EPI693190	Centers For Disease Control And Prevention	Nic Lab Cvd Mali
2360	EPI651938	Centers For Disease Control And Prevention	Ministry Of Health, Nihrd
2361	EPI508393	Centers For Disease Control And Prevention	National Institute Of Health
2362	EPI693142	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
2363	EPI714142	Centers For Disease Control And Prevention	National Institute Of Health
2364	EPI553985	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
2365	EPI590958	Centers For Disease Control And Prevention	National Institute Of Health
2366	EPI508396	Centers For Disease Control And Prevention	National Institute Of Health
2367	EPI565236	Centers For Disease Control And Prevention	Government Virus Unit
2368	EPI538169	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
2369	EPI431322	National Institute For Medical Research	Institut Pasteur D'algerie
2370	EPI1381150	Who Chinese National Influenza Center	Who Collaborating Centre For Reference And Research On Influenza
2371	EPI544273	Centers For Disease Control And Prevention	Utah Department Of Health
2372	EPI556459	National Institute Of Infectious Diseases (niid)	Niigata City Institute Of Public Health And Environment
2373	EPI565188	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
2374	EPI638466	Centers For Disease Control And Prevention	Alaska State Virology Lab
2375	EPI551212	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
2376	EPI722829	National Institute Of Infectious Diseases (niid)	National Public Health Laboratory
2377	EPI722837	National Institute Of Infectious Diseases (niid)	National Public Health Laboratory
2378	EPI773299	Centers For Disease Control And Prevention	National Influenza Center
2379	EPI695181	Centers For Disease Control And Prevention	Instituto Adolfo Lutz
2380	EPI643005	Centers For Disease Control And Prevention	National Influenza Center
2381	EPI569087	Centers For Disease Control And Prevention	Central Laboratory Of Public Health
2382	EPI621495	National Institute Of Infectious Diseases (niid)	Niigata City Institute Of Public Health And Environment
2383	EPI908319	Centers For Disease Control And Prevention	National Influenza Center
2384	EPI714033	Centers For Disease Control And Prevention	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)
2385	EPI564808	National Institute Of Infectious Diseases (niid)	Nagano Environmental Conservation Research Institute
2386	EPI620355	Centers For Disease Control And Prevention	National Public Health Laboratory
2387	EPI978076	Centers For Disease Control And Prevention	National Institute Of Hygiene And Epidemiology
2388	EPI679258	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
2389	EPI769998	Centers For Disease Control And Prevention	Pasteur Institute, Influenza Laboratory
2390	EPI840655	Centers For Disease Control And Prevention	Nic Lab Cvd Mali
2391	EPI693299	Centers For Disease Control And Prevention	National Influenza Reference Laboratory
2392	EPI737702	Centers For Disease Control And Prevention	National Institute Of Virology
2393	EPI843762	Centers For Disease Control And Prevention	Uganda Virus Research Institute (uvri), National Influenza Center
2394	EPI844281	Centers For Disease Control And Prevention	National Public Health Laboratory
2395	EPI833899	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
2396	EPI872264	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
2397	EPI737710	Centers For Disease Control And Prevention	National Institute Of Virology
2398	EPI854350	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
2399	EPI954925	Centers For Disease Control And Prevention	Uganda Virus Research Institute (uvri), National Influenza Center
2400	EPI864190	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
2401	EPI662314	Centers For Disease Control And Prevention	National Virology Laboratory, Center Microbiological Investigations
2402	EPI722869	National Institute Of Infectious Diseases (niid)	National Public Health Laboratory
2403	EPI564804	National Institute Of Infectious Diseases (niid)	Tokyo Metropolitan Institute Of Public Health
2404	EPI554544	National Institute Of Infectious Diseases (niid)	National Institute Of Infectious Diseases (niid)
2405	EPI767024	National Institute Of Infectious Diseases (niid)	Ibaraki Prefectural Institute Of Public Health
2406	EPI644275	Centers For Disease Control And Prevention	Laboratorio De Investigacion / Centro De Educacion Medica Y Amistad Dominico Japones (cemadoja)
2407	EPI540762	Who Collaborating Centre For Reference And Research On Influenza	Prince Of Wales Hospital
2408	EPI589315	National Institute Of Infectious Diseases (niid)	National Institute Of Infectious Diseases (niid)
2409	EPI636606	Who Collaborating Centre For Reference And Research On Influenza	Who Collaborating Centre For Reference And Research On Influenza
2410	EPI874802	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
2411	EPI582835	Centers For Disease Control And Prevention	U.s. Naval Medical Research Unit No.3
2412	EPI561912	Who Collaborating Centre For Reference And Research On Influenza	Pathwest Qe Ii Medical Centre
2413	EPI874946	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
2414	EPI642832	Centers For Disease Control And Prevention	Institute Of Environmental Science & Research
2415	EPI843618	Centers For Disease Control And Prevention	National Influenza Lab
2416	EPI833804	Centers For Disease Control And Prevention	Pennsylvania Department Of Health
2417	EPI892185	Centers For Disease Control And Prevention	Instituto Nacional De Salud De Columbia
2418	EPI892126	Centers For Disease Control And Prevention	Central Laboratory Of Public Health
2419	EPI1013005	Centers For Disease Control And Prevention	Instituto Oswaldo Cruz Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)
2420	EPI1243966	Who Collaborating Centre For Reference And Research On Influenza	Institut Pasteur New Caledonia
2421	EPI807187	Centers For Disease Control And Prevention	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)
2422	EPI763092	Centers For Disease Control And Prevention	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)
2423	EPI807419	Centers For Disease Control And Prevention	Instituto De Salud Publica De Chile 
2424	EPI700966	Centers For Disease Control And Prevention	National Institute Of Health
2425	EPI977912	Centers For Disease Control And Prevention	Arizona Department Of Health Services
2426	EPI807259	Centers For Disease Control And Prevention	Uganda Virus Research Institute (uvri), National Influenza Center
2427	EPI565101	Centers For Disease Control And Prevention	National Influenza Lab
2428	EPI838935	Centers For Disease Control And Prevention	Who Chinese National Influenza Center
2429	EPI955420	Centers For Disease Control And Prevention	Who Chinese National Influenza Center
2430	EPI695261	Centers For Disease Control And Prevention	Adimmune Corporation
2431	EPI651954	Centers For Disease Control And Prevention	State Of Hawaii Department Of Health
2432	EPI630513	National Institute Of Infectious Diseases (niid)	Center For Disease Control
2433	EPI1012632	Centers For Disease Control And Prevention	Instituto Oswaldo Cruz Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)
2434	EPI864358	Centers For Disease Control And Prevention	Laboratorio De Virus Respiratorio
2435	EPI833868	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
2436	EPI714190	Centers For Disease Control And Prevention	Who National Influenza Centre, National Institute Of Medical Research (nimr)
2437	EPI628868	National Institute Of Infectious Diseases (niid)	Sapporo City Institute Of Public Health
2438	EPI876504	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
2439	EPI943047	Centers For Disease Control And Prevention	Institute For Biomedical Sciences
2440	EPI834338	Centers For Disease Control And Prevention	Instituto De Salud Publica De Chile 
2441	EPI766675	Centers For Disease Control And Prevention	Texas Department Of State Health Services Laboratory Services
2442	EPI830607	Centers For Disease Control And Prevention	Central Laboratory Of Public Health
2443	EPI642778	Centers For Disease Control And Prevention	Institute Of Environmental Science & Research
2444	EPI642857	Centers For Disease Control And Prevention	Institute Of Environmental Science & Research
